"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"39236","Mediterranean","April 30, 2014","2014","Apr","","40","40","1","","","","Drowning","Coast of Libya","Relief Web","34.370600000000, 14.172400000000","Central Mediterranean","http://bit.ly/1okLiQ5","Uncategorized","1"
"39290","US-Mexico Border","April 30, 2014","2014","Apr","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39218","US-Mexico Border","April 27, 2014","2014","Apr","1","","1","","","1","","Hyperthermia","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39217","US-Mexico Border","April 27, 2014","2014","Apr","1","","1","","","1","","Unknown (multiple blunt force injuries)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39289","US-Mexico Border","April 23, 2014","2014","Apr","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39225","Southeast Asia","April 21, 2014","2014","Apr","5","","5","","","","","Shot","Border China/Vietnam","New York Times","21.592800000000, 107.493000000000","","http://nyti.ms/1kzuP6j","South-eastern Asia","1"
"39288","US-Mexico Border","April 18, 2014","2014","Apr","1","","1","","","1","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39216","Central America","April 17, 2014","2014","Apr","4","","4","3","","","","Violence","On la Bestia, near Arriaga, Chiapas, Mexico","Soy 502","16.242196000000, -93.909862000000","Central America to US","http://bit.ly/29FBuh6","Central America","1"
"39287","US-Mexico Border","April 17, 2014","2014","Apr","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39356","Mediterranean","April 16, 2014","2014","Apr","8","1","9","5","2","","1","Drowning","Turkey waters - en route to Greece","World Bulletin","38.669208000000, 26.630888000000","Central Mediterranean","http://bit.ly/1qfNEkE","Uncategorized","1"
