"Web ID","Region","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"43115","North Africa","February 19, 2016","2016","Feb","1","","1","","","","","Suffocation","Melawi, Egypt","Mixed Migration Monitoring Mechanism Initiative (4Mi)","27.765170100000, 30.665442300000","","","Northern Africa","2"
"43116","North Africa","February 19, 2016","2016","Feb","2","","2","","","","","Sickness and lack of access to medicines","Khartoum, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","15.501534100000, 32.502556100000","","","Northern Africa","2"
"43099","US-Mexico Border","February 18, 2016","2016","Feb","4","","4","","","4","","Vehicle Accident","Highway 59 in Webb County, Texas","Webb County Office of the Medical Examiner- Dr Corinne Stern","27.715588900000, -99.698746100000","Central America to US","","Northern America","5"
"43100","North Africa","February 18, 2016","2016","Feb","1","","1","","","","","Sickness and lack of access to medicines","In Sahara Desert, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","19.428332000000, 25.906288500000","","","Northern Africa","2"
"43101","Horn of Africa","February 18, 2016","2016","Feb","1","","1","","","","","Starvation, Dehydration","Karora, Eritrea","Mixed Migration Monitoring Mechanism Initiative (4Mi)","17.703009200000, 38.350793000000","","","Eastern Africa","2"
"43102","Sub-Saharan Africa","February 18, 2016","2016","Feb","2","","2","","","","","Sickness and lack of access to medicines","Vwawa, Tanzania","Mixed Migration Monitoring Mechanism Initiative (4Mi)","-9.102866000000, 32.915691000000","","","Eastern Africa","2"
"43103","North Africa","February 18, 2016","2016","Feb","3","","3","","","","","Sickness and lack of access to medicines","Kessela, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","15.455814400000, 36.378757100000","","","Northern Africa","2"
"43104","North Africa","February 18, 2016","2016","Feb","6","","6","","","","","Sickness and lack of access to medicines","Ajdabiya, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","30.272374300000, 19.074105200000","","","Northern Africa","2"
"43105","North Africa","February 18, 2016","2016","Feb","1","","1","","","","","Sickness and lack of access to medicines","Shandi, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","16.679729400000, 33.429765500000","","","Northern Africa","2"
"43106","North Africa","February 18, 2016","2016","Feb","25","","25","","","","","Sickness and lack of access to medicines","Kurfrah, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","23.248841300000, 19.724216100000","","","Northern Africa","2"
"43107","North Africa","February 18, 2016","2016","Feb","1","","1","","","","","Sickness and lack of access to medicines","Qadarif, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","14.031672200000, 35.341772300000","","","Northern Africa","2"
"43108","North Africa","February 18, 2016","2016","Feb","3","","3","","","","","Sickness and lack of access to medicines","Kufrah, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","23.248841300000, 19.724216100000","","","Northern Africa","2"
