"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"44799","US-Mexico Border","May 11, 2018","2018","May","1","","1","","","1","","Drowning","Canal in Moody Ranch Head Gates, Brackettville, Kinney County, Texas, USA","Zócalo, La Voz","29.199673200000, -100.749701500000","","https://bit.ly/2wJHhma, https://bit.ly/2rHFtnB","Northern America","3"
"44796","US-Mexico Border","May 10, 2018","2018","May","1","","1","","","1","","Unknown (skeletal remains)","Los Palos Ranch near Falfurrias, Brooks County, Texas ","South Texas Human Rights Center","27.225101500000, -98.399800900000","","","Northern America","4"
"45713","Mediterranean","May 10, 2018","2018","May","1","","1","","1","","","Unknown","Body recovered in a well in Beni Chiker, Nador, Morocco, near Melilla border fence","Association Marocaine des Droits Humans - Section Nador","35.274229822551, -2.984685136279","Western Mediterranean","https://bit.ly/2KGEUSU, https://bit.ly/2s0cJaX","Northern Africa","1"
"44797","US-Mexico Border","May 10, 2018","2018","May","1","","1","","","","","Unknown","Ranch near Armstrong, Kenedy County, Texas, USA","US Border Patrol via Breitbart","26.902877339052, -97.847574522656","","https://bit.ly/2jWdBIU","Northern America","1"
"44803","Europe","May 09, 2018","2018","May","1","","1","","1","","","Drowning","Durance river, Saint-Martin-de-Queyrières, near Briançon, Hautes-Alpes, France","Corriere della Sera, Franceinfo, 20minutes","44.839670353177, 6.580775142822","","https://bit.ly/2IlFsB1, https://bit.ly/2KU4o0j, https://bit.ly/2KnEgdc","Western Europe","3"
"44855","US-Mexico Border","May 09, 2018","2018","May","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.923968200000, -112.150236600000","","http://humaneborders.info/","Northern America","5"
"44881","Middle East","May 08, 2018","2018","May","2","","2","","","1","","Shot","Syria-Turkey border, Idlib Governorate, Syria","Syrian Observatory for Human Rights","35.996329319205, 36.366776174121","","http://www.syriahr.com/en/?p=91543","Western Asia","4"
"44854","US-Mexico Border","May 08, 2018","2018","May","1","","1","","","1","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.302284200000, -113.008334800000","","http://humaneborders.info/","Northern America","5"
"44853","US-Mexico Border","May 07, 2018","2018","May","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.700734400000, -111.703308700000","","http://humaneborders.info/","Northern America","5"
"44793","Central America","May 07, 2018","2018","May","1","","1","","","1","","Hit by train, Train Accident","Train tracks near Colonia La Bomba, Minatitlán, Veracruz, Mexico","Diario Eyipantla Milenio","18.000235239759, -94.555618920901","Central America to US","https://bit.ly/2jHkoGi","Central America","1"
"44787","Mediterranean","May 06, 2018","2018","May","1","3","4","114","","","","Presumed drowning","Unspecified location off the coast of Tripoli, Libya","IOM Libya, AFP","34.169328211340, 13.411064862500","Central Mediterranean","https://bit.ly/2JUuEWM","Uncategorized","4"
"44852","US-Mexico Border","May 06, 2018","2018","May","1","","1","","1","","","Hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.946528500000, -111.743578900000","","http://humaneborders.info/","Northern America","5"
"44795","Sub-Saharan Africa","May 05, 2018","2018","May","1","12","13","1","1","","","Drowning","Off the coast of Mutsamudu, Anjouan, Comoros - en route to Mayotte (France)","IOM Madagascar, Al Watwan via Comores-info","-12.129305140287, 44.383990507813","","https://bit.ly/2rxthGX","Eastern Africa","1"
"44788","US-Mexico Border","May 03, 2018","2018","May","1","","1","","","1","","Drowning","Río Bravo, near 1860 Abram Road, Mission, Hidalgo County, Texas","Hidalgo County Sheriff's Office, Hoy Tamaulipas","26.183524454064, -98.407404245569","Central America to US","https://bit.ly/2I2a3Q1","Northern America","5"
"44789","Sub-Saharan Africa","May 03, 2018","2018","May","3","","3","74","","","3","Vehicle Accident","Ruhoko-Kirimilre, near Ibanda, Uganda. One child died later in Mbarara Referral Hospital.","UNHCR, SoftPower News, Nangalama, ChimpReports","-0.154338359569, 30.479184865637","","https://bit.ly/2rfIfAq, https://bit.ly/2rjs8Td, https://bit.ly/2Idusok, https://bit.ly/2HUOsZS","Eastern Africa","4"
"44785","Central America","May 02, 2018","2018","May","1","","1","","","1","","Violence","Train tracks in Tlacopa, Toluca, Estado de Mexico, Mexico","El Sol de Toluca, Sincronía","19.302800652808, -99.641785870639","","https://bit.ly/2IaKgIA, https://bit.ly/2rgsGbR","Central America","1"
"44851","US-Mexico Border","May 02, 2018","2018","May","1","","1","","","1","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.587663900000, -111.050471600000","","http://humaneborders.info/","Northern America","5"
